,dmPFC_L_dMFPC,dmPFC_L_LTC,dmPFC_L_TempP,dMPFC_L_TPJ,MTL_L_HF,MTL_L_PHC,MTL_L_pIPL,MTL_L_Rsp,MTL_L_vMPFC,Core_L_aMPFC,Core_L_PCC,dMPFC_R_dMFPC,dMPFC_R_LTC,dMPFC_R_TempP,dMPFC_R_TPJ,MTL_R_HF,MTL_R_PHC,MTL_R_pIPL,MTL_R_Rsp,MTL_R_vMPFC,Core_R_aMPFC,Core_R_PCC
dmPFC_L_dMFPC,Inf,0.3178503,0.3443645,0.4947199,0.0138624,-0.06677206,0.2736667,0.04335388,0.2036501,0.4708272,0.4434667,0.9710095,0.1143711,0.3153183,0.357895,0.004609027,-0.1242607,-0.1694133,-0.03829505,0.1923551,0.4021338,0.3471454
dmPFC_L_LTC,0.3178503,Inf,0.2917656,0.3144921,0.0946894,0.01661141,0.3122783,-0.02297846,0.270358,0.2592891,0.2709641,0.2426603,0.4391792,0.2126995,0.283965,0.07595181,-0.07272308,-0.07827664,-0.06799373,0.2593497,0.2198446,0.2060705
dmPFC_L_TempP,0.3443645,0.2917656,Inf,0.3039928,0.04244542,-0.0544226,0.1207982,-0.01602873,0.1562872,0.1449523,0.2197795,0.2747672,0.1472756,0.5032596,0.2055225,0.01171933,-0.06707241,-0.1395642,-0.06038051,0.1511576,0.1352596,0.1732078
dMPFC_L_TPJ,0.4947199,0.3144921,0.3039928,Inf,-0.03370753,-0.0844373,0.3098079,-0.04895982,0.06865386,0.1633535,0.3614561,0.3870689,0.1732182,0.2657591,0.5197695,-0.04013431,-0.14705,-0.075113,-0.09975938,0.07437474,0.1371921,0.2946144
MTL_L_HF,0.0138624,0.0946894,0.04244542,-0.03370753,Inf,0.1690337,0.143057,0.1513897,0.07355862,0.1701551,0.1440636,0.04016397,0.05281484,0.02793938,0.04266538,0.3800228,0.08299957,0.05030555,0.149748,0.07298853,0.1436659,0.1361161
MTL_L_PHC,-0.06677206,0.01661141,-0.0544226,-0.0844373,0.1690337,Inf,0.2630522,0.3848489,0.0603772,0.09045804,0.1356624,-0.03768442,-0.03027052,-0.04960103,-0.004353961,0.1858359,0.6718418,0.3602927,0.4189947,0.04966649,0.07170078,0.1611908
MTL_L_pIPL,0.2736667,0.3122783,0.1207982,0.3098079,0.143057,0.2630522,Inf,0.3755272,0.1993858,0.3959746,0.5672439,0.26228,0.1509698,0.0952056,0.4178729,0.1240139,0.06778062,0.3950358,0.3129756,0.2033988,0.3396862,0.511119
MTL_L_Rsp,0.04335388,-0.02297846,-0.01602873,-0.04895982,0.1513897,0.3848489,0.3755272,Inf,0.1350756,0.3223547,0.4353181,0.07996675,-0.07619697,-0.02656511,0.09691479,0.1286855,0.2920202,0.258337,0.9438379,0.1091361,0.2722408,0.4622858
MTL_L_vMPFC,0.2036501,0.270358,0.1562872,0.06865386,0.07355862,0.0603772,0.1993858,0.1350756,Inf,0.2977252,0.2368999,0.2102116,0.1751865,0.1257427,0.1248359,0.06629166,0.02809191,-0.03685837,0.08970225,0.8970218,0.2547795,0.1967922
Core_L_aMPFC,0.4708272,0.2592891,0.1449523,0.1633535,0.1701551,0.09045804,0.3959746,0.3223547,0.2977252,Inf,0.6663234,0.4833521,0.07363318,0.1495035,0.249507,0.1217776,-0.03644463,-0.07193782,0.2303991,0.3040732,1.057609,0.5403639
Core_L_PCC,0.4434667,0.2709641,0.2197795,0.3614561,0.1440636,0.1356624,0.5672439,0.4353181,0.2368999,0.6663234,Inf,0.4612151,0.123017,0.1854549,0.4667053,0.1071581,-0.01946174,0.02882357,0.3295435,0.2487312,0.6053503,1.12303
dMPFC_R_dMFPC,0.9710095,0.2426603,0.2747672,0.3870689,0.04016397,-0.03768442,0.26228,0.07996675,0.2102116,0.4833521,0.4612151,Inf,0.1816116,0.3534526,0.5031256,0.03693597,-0.1067484,-0.1106462,0.01339145,0.2472735,0.5478819,0.4800398
dMPFC_R_LTC,0.1143711,0.4391792,0.1472756,0.1732182,0.05281484,-0.03027052,0.1509698,-0.07619697,0.1751865,0.07363318,0.123017,0.1816116,Inf,0.1794285,0.3521497,0.07329988,-0.06571225,0.03442585,-0.07349884,0.2254195,0.1908493,0.1411283
dMPFC_R_TempP,0.3153183,0.2126995,0.5032596,0.2657591,0.02793938,-0.04960103,0.0952056,-0.02656511,0.1257427,0.1495035,0.1854549,0.3534526,0.1794285,Inf,0.3099968,0.003497156,-0.08306763,-0.104273,-0.05751454,0.1610118,0.1931657,0.1945197
dMPFC_R_TPJ,0.357895,0.283965,0.2055225,0.5197695,0.04266538,-0.004353961,0.4178729,0.09691479,0.1248359,0.249507,0.4667053,0.5031256,0.3521497,0.3099968,Inf,0.07248677,-0.09755415,0.126726,0.07398442,0.1659721,0.3900112,0.6042898
MTL_R_HF,0.004609027,0.07595181,0.01171933,-0.04013431,0.3800228,0.1858359,0.1240139,0.1286855,0.06629166,0.1217776,0.1071581,0.03693597,0.07329988,0.003497156,0.07248677,Inf,0.1234241,0.09347026,0.1538845,0.0778753,0.1288385,0.1381266
MTL_R_PHC,-0.1242607,-0.07272308,-0.06707241,-0.14705,0.08299957,0.6718418,0.06778062,0.2920202,0.02809191,-0.03644463,-0.01946174,-0.1067484,-0.06571225,-0.08306763,-0.09755415,0.1234241,Inf,0.3073276,0.3785362,0.01878819,-0.05094192,0.02485814
MTL_R_pIPL,-0.1694133,-0.07827664,-0.1395642,-0.075113,0.05030555,0.3602927,0.3950358,0.258337,-0.03685837,-0.07193782,0.02882357,-0.1106462,0.03442585,-0.104273,0.126726,0.09347026,0.3073276,Inf,0.3670596,-0.03603442,0.002766526,0.1488032
MTL_R_Rsp,-0.03829505,-0.06799373,-0.06038051,-0.09975938,0.149748,0.4189947,0.3129756,0.9438379,0.08970225,0.2303991,0.3295435,0.01339145,-0.07349884,-0.05751454,0.07398442,0.1538845,0.3785362,0.3670596,Inf,0.08708763,0.2208956,0.4225536
MTL_R_vMPFC,0.1923551,0.2593497,0.1511576,0.07437474,0.07298853,0.04966649,0.2033988,0.1091361,0.8970218,0.3040732,0.2487312,0.2472735,0.2254195,0.1610118,0.1659721,0.0778753,0.01878819,-0.03603442,0.08708763,Inf,0.3024913,0.2327894
Core_R_aMPFC,0.4021338,0.2198446,0.1352596,0.1371921,0.1436659,0.07170078,0.3396862,0.2722408,0.2547795,1.057609,0.6053503,0.5478819,0.1908493,0.1931657,0.3900112,0.1288385,-0.05094192,0.002766526,0.2208956,0.3024913,Inf,0.6060621
Core_R_PCC,0.3471454,0.2060705,0.1732078,0.2946144,0.1361161,0.1611908,0.511119,0.4622858,0.1967922,0.5403639,1.12303,0.4800398,0.1411283,0.1945197,0.6042898,0.1381266,0.02485814,0.1488032,0.4225536,0.2327894,0.6060621,Inf
